"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"ATUC59FK","journalArticle","2011","LIU, Zheng; ZHAO, Hai; ZHANG, Qian","Analysis and Metrics for Complexity of Software Systems Based on Software-Core Structure","Journal of Northeastern University (Natural Science)","","","","","","2011","2019-06-04 16:25:02","2019-06-04 16:25:02","","5","","9","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"GGB3XXWN","conferencePaper","2016","Jha, Pooja; Patnaik, K Sridhar","Program Code Understandability and Authenticating Code Predicting Systems: A Metric-Based Approach","Proceedings of the International Conference on Signal, Networks, Computing, and Systems","","","","","","2016","2019-06-04 16:25:02","2019-06-04 16:25:02","","95–103","","","","","","","","","","","Springer","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BKIBQS9H","conferencePaper","2011","Moorthy, Senthilrajan; Samadzadeh, MH","Program Comprehension and Implications of Human Navigational Approaches","2011 21st International Conference on Systems Engineering","","","","","","2011","2019-06-04 16:25:02","2019-06-04 16:25:02","","189–193","","","","","","","","","","","IEEE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"JBBX8YGZ","book","2011","Gilliam, Dennis Anthony","The relationship between the use of the Accelerated Reader program and reading comprehension scores for deaf and hard of hearing students","","","","","","","2011","2019-06-04 16:25:02","2019-06-04 16:25:02","","","","","","","","","","","","","Lamar University-Beaumont","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"UVBN64TH","journalArticle","2018","Arthur, Jaffe; Zhengwei, Liu; Alex, Wozniakowski","Holographic software for quantum networksfootnotetext $$\backslash$dagger $ Current address: School of Physical and Mathematical Sciences and Complexity Institute, Nanyang Technological University, Singapore 637723, Singapore","SCIENCE CHINA Mathematics","","","","","","2018","2019-06-04 16:25:02","2019-06-04 16:25:02","","593","","4","61","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"YHUWKM6S","conferencePaper","2018","Kozyrev, Sergei V","Code Biology and Kolmogorov Complexity","International Conference of Artificial Intelligence, Medical Engineering, Education","","","","","","2018","2019-06-04 16:25:02","2019-06-04 16:25:02","","93–101","","","","","","","","","","","Springer","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4N74Q3AN","thesis","2018","Smith, Larry E","The Elements of an Effective Response to Intervention Program and Its Impact on Middle School Reading Comprehension Scores","","","","","","","2018","2019-06-04 16:25:02","2019-06-04 16:25:02","","","","","","","","","","","","","Baker University","","","","PhD Thesis","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"59AETECR","journalArticle","2015","Heering, Jan","Generative software complexity and software understanding","Science of Computer Programming","","","","","","2015","2019-06-04 16:25:02","2019-06-04 16:25:02","","82–85","","","97","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"DARBZHZD","journalArticle","","Sarala, S","Advanced Program Complexity Metrics and Measurement","International Journal of Computer Applications","","","","","","","2019-06-04 16:25:03","2019-06-04 16:25:03","","8887","","","975","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ZQSC4GLR","conferencePaper","2016","Podila, Sahithi; Zhu, Ying","A Visualization Tool for 3D Graphics Program Comprehension and Debugging","2016 IEEE Working Conference on Software Visualization (VISSOFT)","","","","","","2016","2019-06-04 16:25:03","2019-06-04 16:25:03","","111–115","","","","","","","","","","","IEEE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"WBT8ZPK2","journalArticle","","Fakhoury, Sarah; Roy, Devjeet; Hassan, Sk Adnan; Arnaoudova, Venera","Improving Source Code Readability: Theory and Practice","","","","","","","","2019-06-04 16:25:03","2019-06-04 16:25:03","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"UVJDIMS6","journalArticle","2012","Thakore, DM; Sarde, SJ","Assessing the Software Complexity and Security metrics from UML Class diagram","framework","","","","","","2012","2019-06-04 16:25:03","2019-06-04 16:25:03","","","","4","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3L66T8UP","conferencePaper","2016","Zhang, Hong; Hu, Changzhen; Wang, Xiaojun","Application of complexity and brittleness on software architecture","2016 8th IEEE International Conference on Communication Software and Networks (ICCSN)","","","","","","2016","2019-06-04 16:25:03","2019-06-04 16:25:03","","570–573","","","","","","","","","","","IEEE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"P48489CC","journalArticle","2018","Isola, Esther; Olabiyisi, Stephen; Omidiora, Elijah; Ganiyu, Rafiu","PERFORMANCE EVALUATION OF IMPROVED COGNITIVE COMPLEXITY METRIC AND OTHER CODE BASED COMPLEXITY METRICS.","Annals. Computer Science Series","","","","","","2018","2019-06-04 16:25:03","2019-06-04 16:25:03","","","","1","16","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ZI7LDSXE","journalArticle","2013","Luo, Si-Mao; Zhou, Xing-Bin","Analysis and application of influences of AOP for software complexity","Computer Engineering and Design","","","","","","2013","2019-06-04 16:25:03","2019-06-04 16:25:03","","","","5","34","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"URBQPVUI","thesis","2015","Saxena, Pallavi","EVALUATING TESTING EFFORT AND ITS CORELATION TO CYCLOMACTIC COMPLEXITY AND CODE COVERAGE","","","","","","","2015","2019-06-04 16:25:03","2019-06-04 16:25:03","","","","","","","","","","","","","University of Akron","","","","PhD Thesis","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"NAZA43JP","conferencePaper","2015","Argyropoulos, Vassilios; Martos, Aineias; Sideridis, Georgios; Kouroupetroglou, Georgios; Nikolaraizi, Magda; Papazafiri, Maria","Reading Comprehension Issues and Individuals with Visual Impairments: The Effects of Using 8-dot and 6-dot Braille Code Through a Braille Display","International Conference on Universal Access in Human-Computer Interaction","","","","","","2015","2019-06-04 16:25:03","2019-06-04 16:25:03","","71–81","","","","","","","","","","","Springer","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SVSDMDZL","journalArticle","2015","Colazo, Jorge A; others","The interplay among software volatility, complexity and development outcomes: evidence from open source software.","IJITM","","","","","","2015","2019-06-04 16:25:03","2019-06-04 16:25:03","","160–171","","2/3","14","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6G9VBXP3","bookSection","2018","McDonald, Paige L; Lotrecchiano, Gaetano R","New Ways of Knowing and Researching: Integrating Complexity into a Translational Health Sciences Program","Putting Systems and Complexity Sciences Into Practice","","","","","","2018","2019-06-04 16:25:03","2019-06-04 16:25:03","","133–145","","","","","","","","","","","Springer","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"56SITBYY","journalArticle","","González-Disla, Renato R","SOFTWARE COMPLEXITY METRIC AND COGNITIVE PROCESSES: TOWARDS A NEW SOFTWARE ENGINEERING ECONOMICS","","","","","","","","2019-06-04 16:25:03","2019-06-04 16:25:03","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7DDAM2R2","book","2017","Botterweck, Goetz; Werner, Claudia","Mastering Scale and Complexity in Software Reuse: 16th International Conference on Software Reuse, ICSR 2017, Salvador, Brazil, May 29-31, 2017, Proceedings","","","","","","","2017","2019-06-04 16:25:03","2019-06-04 16:25:03","","","","","10221","","","","","","","","Springer","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CQZHAQXC","journalArticle","2012","Dao-miao, LIN; Hui, GU","Comprehension and Visual Representation Algorithm of Object-oriented Program","Computer Engineering","","","","","","2012","2019-06-04 16:25:03","2019-06-04 16:25:03","","25","","6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BSRASRJM","thesis","2019","Holland, Amy L","A Mixed-Methods Study Involving the Effects on Reading Comprehension and Student Motivation in the Fourth-Grade Classroom Involving the Lyrics 2 Learn Program","","","","","","","2019","2019-06-04 16:25:04","2019-06-04 16:25:04","","","","","","","","","","","","","Northcentral University","","","","PhD Thesis","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"X749KGZ5","journalArticle","","Galster, Matthias; Goedicke, Michael; Weyns, Danny; Zdun, Uwe","2017 IEEE/ACM 2nd International Workshop on Variability and Complexity in Software Design (VACE 2017)","","","","","","","","2019-06-04 16:25:04","2019-06-04 16:25:04","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HCY99L5Q","journalArticle","2017","Suganantham, Senthil; Babu, Chitra; Raju, Madhumitha","A Quantitative Evaluation of Change Impact Reachability and Complexity Across Versions of Aspect Oriented Software.","International Arab Journal of Information Technology (IAJIT)","","","","","","2017","2019-06-04 16:25:04","2019-06-04 16:25:04","","","","1","14","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3RMEMGVH","journalArticle","2010","Liuhong, XU Minhong HUANG","Research and Application of Software Complexity Analysis Based on CCCC","Journal of Guangdong Polytechnic Normal University","","","","","","2010","2019-06-04 16:25:04","2019-06-04 16:25:04","","9","","9","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SXIWC5KT","conferencePaper","2014","Yadav, Vandana; Lavania, Siddharth; Chaudhary, Arun; Dhanda, Namrata","A trade-off establishment between software complexity and its usability using evolutionary multi-objective optimization (EMO)","2014 International Conference on Contemporary Computing and Informatics (IC3I)","","","","","","2014","2019-06-04 16:25:04","2019-06-04 16:25:04","","80–82","","","","","","","","","","","IEEE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3IC2FQHB","thesis","2010","Alrubaiy’a, Uhoud","The Effect of Using RocketReader Software on Reading Speed and Comprehension of Saudi Undergraduate Female Students","","","","","","","2010","2019-06-04 16:25:04","2019-06-04 16:25:04","","","","","","","","","","","","","College of Languages and Translation Department of English The Effect of …","","","","PhD Thesis","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PEUCX7KI","journalArticle","","Karthika, J; Sujatha, D","A LOW COMPLEXITY RELIABLE CONCURRENT ERROR DETECTION ARCHITECTURE USING PARITY CODE AND DMC OVER GF (2 M)","","","","","","","","2019-06-04 16:25:04","2019-06-04 16:25:04","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"VFDMPAAK","conferencePaper","2011","Vasudevan, Varun; Sheshadri, Vinay; KS, Vasundara Patel; others","Design and Complexity Analysis of Reed Solomon Code Algorithm for Advanced RAID System in Quaternary Domain","2011 IEEE Computer Society Annual Symposium on VLSI","","","","","","2011","2019-06-04 16:25:04","2019-06-04 16:25:04","","307–312","","","","","","","","","","","IEEE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"U32WNV8X","journalArticle","2011","Pomorova, OV; Hovorushchenko, TO","Intelligent Support of Process of Evaluation and Prediction of Software Complexity and Quality","","","","","","","2011","2019-06-04 16:25:04","2019-06-04 16:25:04","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
