"type","id","author","editor","advisor","note","title","pages","article_no","num_pages","keywords","doi","journal","issue_date","volume","issue_no","description","month","year","issn","booktitle","acronym","edition","isbn","conf_loc","publisher","publisher_loc"
"article","3196347","Sarah  Fakhoury and Yuzhan  Ma and Venera  Arnaoudova and Olusola  Adesope","","","","The Effect of Poor Source Code Lexicon and Readability on Developers' Cognitive Load","286--296","","11","biometrics, cognitive load, eyetracking, fNIRS, program comprehension, source code lexicon","10.1145/3196321.3196347","","","","","","","2018","","Proceedings of the 26th Conference on Program Comprehension","ICPC '18","","978-1-4503-5714-2","Gothenburg, Sweden","ACM","New York, NY, USA"
"article","3196342","Rodrigo Magalh&#227;es dos Santos and Marco Aur&#233;lio Gerosa","","","","Impacts of Coding Practices on Readability","277--285","","9","code comprehension, code readability, coding best practices, programming style, software developers' opinions survey","10.1145/3196321.3196342","","","","","","","2018","","Proceedings of the 26th Conference on Program Comprehension","ICPC '18","","978-1-4503-5714-2","Gothenburg, Sweden","ACM","New York, NY, USA"
"article","2591167","Giora  Alexandron and Michal  Armoni and Michal  Gordon and David  Harel","","","","Scenario-based Programming: Reducing the Cognitive Load, Fostering Abstract Thinking","311--320","","10","Abstraction, Scenario-Based Programming","10.1145/2591062.2591167","","","","","","","2014","","Companion Proceedings of the 36th International Conference on Software Engineering","ICSE Companion 2014","","978-1-4503-2768-8","Hyderabad, India","ACM","New York, NY, USA"
"article","3300487","Caitlin  Kelleher and Wint  Hnin","","","","Predicting Cognitive Load in Future Code Puzzles","257:1--257:12","257","12","adaptive learning system, code puzzles, cognitive load","10.1145/3290605.3300487","","","","","","","2019","","Proceedings of the 2019 CHI Conference on Human Factors in Computing Systems","CHI '19","","978-1-4503-5970-2","Glasgow, Scotland Uk","ACM","New York, NY, USA"
"article","2493425","Briana B. Morrison","","","","Using Cognitive Load Theory to Improve the Efficiency of Learning to Program","183--184","","2","multi-medium code explanation, worked examples.","10.1145/2493394.2493425","","","","","","","2013","","Proceedings of the Ninth Annual International ACM Conference on International Computing Education Research","ICER '13","","978-1-4503-2243-0","San Diego, San California, USA","ACM","New York, NY, USA"
"article","2503725","Vitor A. M. Jorge and Wilson J. Sarmiento and Anderson  Maciel and Luciana  Nedel and C&#233;sar A. Collazos and Frederico  Faria and Jackson  Oliveira","","","","Interacting with Danger in an Immersive Environment: Issues on Cognitive Load and Risk Perception","83--92","","10","3D interaction, presence, risk perception, virtual reality","10.1145/2503713.2503725","","","","","","","2013","","Proceedings of the 19th ACM Symposium on Virtual Reality Software and Technology","VRST '13","","978-1-4503-2379-6","Singapore","ACM","New York, NY, USA"
"article","3194705","George S. Avrunin and Lori A. Clarke and Heather M. Conboy and Leon J. Osterweil and Roger D. Dias and Steven J. Yule and Julian M. Goldman and Marco A. Zenati","","","","Toward Improving Surgical Outcomes by Incorporating Cognitive Load Measurement into Process-driven Guidance","2--9","","8","augmented cognition, checklists, cognitive load, process modeling, simulation, surgical data science, surgical patient safety","10.1145/3194696.3194705","","","","","","","2018","","Proceedings of the International Workshop on Software Engineering in Healthcare Systems","SEHS '18","","978-1-4503-5734-0","Gothenburg, Sweden","ACM","New York, NY, USA"
"article","3283820","Umme Ayda  Mannan and Iftekhar  Ahmed and Anita  Sarma","","","","Towards Understanding Code Readability and Its Impact on Design Quality","18--21","","4","Code smell, Design quality, Readability","10.1145/3283812.3283820","","","","","","","2018","","Proceedings of the 4th ACM SIGSOFT International Workshop on NLP for Software Engineering","NL4SE 2018","","978-1-4503-6055-5","Lake Buena Vista, FL, USA","ACM","New York, NY, USA"
"article","3183415","Mahnaz  Behroozi and Alison  Lui and Ian  Moore and Denae  Ford and Chris  Parnin","","","","Dazed: Measuring the Cognitive Load of Solving Technical Interview Problems at the Whiteboard","93--96","","4","cognitive load, eyetracking, technical interviews","10.1145/3183399.3183415","","","","","","","2018","","Proceedings of the 40th International Conference on Software Engineering: New Ideas and Emerging Results","ICSE-NIER '18","","978-1-4503-5662-6","Gothenburg, Sweden","ACM","New York, NY, USA"
"article","2597150","David  Binkley and Daniel  Heinz and Dawn  Lawrie and Justin  Overfelt","","","","Understanding LDA in Source Code Analysis","26--36","","11","Latent Dirichlet Allocation, hyper-parameters, source code topic models","10.1145/2597008.2597150","","","","","","","2014","","Proceedings of the 22Nd International Conference on Program Comprehension","ICPC 2014","","978-1-4503-2879-1","Hyderabad, India","ACM","New York, NY, USA"
