"type","id","author","editor","advisor","note","title","pages","article_no","num_pages","keywords","doi","journal","issue_date","volume","issue_no","description","month","year","issn","booktitle","acronym","edition","isbn","conf_loc","publisher","publisher_loc"
"article","3295739","Yue  Li and Tian  Tan and Jingling  Xue","","","","Understanding and Analyzing Java Reflection","7:1--7:50","7","50","Java reflection, points-to analysis, reflection analysis, static analysis","10.1145/3295739","ACM Trans. Softw. Eng. Methodol.","April 2019","28","2","","February","2019","1049-331X","","","","","","ACM","New York, NY, USA"
"article","2491912","Giuseppe  Scanniello and Carmine  Gravino and Marcela  Genero and Jose' A.  Cruz-Lemus and Genoveffa  Tortora","","","","On the Impact of UML Analysis Models on Source-code Comprehensibility and Modifiability","13:1--13:26","13","26","Analysis models, UML, comprehensibility, controlled experiment, family of experiments, maintenance, modifiability, replicated experiments","10.1145/2491912","ACM Trans. Softw. Eng. Methodol.","March 2014","23","2","","April","2014","1049-331X","","","","","","ACM","New York, NY, USA"
"article","2699696","Giuseppe  Scanniello and Carmine  Gravino and Michele  Risi and Genoveffa  Tortora and Gabriella  Dodero","","","","Documenting Design-Pattern Instances: A Family of Experiments on Source-Code Comprehensibility","14:1--14:35","14","35","Design patterns, controlled experiment, maintenance, replications, software models, source-code comprehension","10.1145/2699696","ACM Trans. Softw. Eng. Methodol.","May 2015","24","3","","May","2015","1049-331X","","","","","","ACM","New York, NY, USA"
"article","3178432","Stefan  Dziembowski and Krzysztof  Pietrzak and Daniel  Wichs","","","","Non-Malleable Codes","20:1--20:32","20","32","Tamper resilience, provable security","10.1145/3178432","J. ACM","August 2018","65","4","","April","2018","0004-5411","","","","","","ACM","New York, NY, USA"
"article","2866575","Marc  Brockschmidt and Fabian  Emmes and Stephan  Falke and Carsten  Fuhs and J&#252;rgen  Giesl","","","","Analyzing Runtime and Size Complexity of Integer Programs","13:1--13:50","13","50","Runtime complexity, automated complexity analysis, integer programs","10.1145/2866575","ACM Trans. Program. Lang. Syst.","October 2016","38","4","","August","2016","0164-0925","","","","","","ACM","New York, NY, USA"
"article","2622669","Walid  Maalej and Rebecca  Tiarks and Tobias  Roehm and Rainer  Koschke","","","","On the Comprehension of Program Comprehension","31:1--31:37","31","37","Empirical software engineering, context-aware software engineering, information needs, knowledge sharing, program comprehension","10.1145/2622669","ACM Trans. Softw. Eng. Methodol.","August 2014","23","4","","September","2014","1049-331X","","","","","","ACM","New York, NY, USA"
"article","3184400","Ethan L. Schreiber and Richard E. Korf and Michael D. Moffitt","","","","Optimal Multi-Way Number Partitioning","24:1--24:61","24","61","Scheduling, combinatorial optimization, search","10.1145/3184400","J. ACM","August 2018","65","4","","July","2018","0004-5411","","","","","","ACM","New York, NY, USA"
"article","3173043","Flavio  Chierichetti and George  Giakkoupis and Silvio  Lattanzi and Alessandro  Panconesi","","","","Rumor Spreading and Conductance","17:1--17:21","17","21","Randomized broadcast, distributed algorithms, gossip algorithms, graph conductance, graph sparsification, randomized algorithms","10.1145/3173043","J. ACM","August 2018","65","4","","April","2018","0004-5411","","","","","","ACM","New York, NY, USA"
"article","3178120","David G. Harris and Johannes  Schneider and Hsin-Hao  Su","","","","Distributed ({$\Delta$} +1)-Coloring in Sublogarithmic Rounds","19:1--19:21","19","21","Distributed networks, LOCAL model, vertex coloring","10.1145/3178120","J. ACM","August 2018","65","4","","April","2018","0004-5411","","","","","","ACM","New York, NY, USA"
"article","3231052","","Eva  Tardos","","","Invited Article Foreword","25:1--25:61","25","61","","10.1145/3231052","J. ACM","August 2018","65","4","","July","2018","0004-5411","","","","","","ACM","New York, NY, USA"
