"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication_Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","INSPEC Controlled Terms","INSPEC Non-Controlled Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License","Online Date",Issue Date,"Meeting Date","Publisher",Document Identifier
"Supporting program comprehension with source code summarization","S. Haiduc; J. Aponte; A. Marcus","Wayne State University, Detroit, MI; Universidad Nacional de Colombia, Bogot&#x0E1;, Colombia; Wayne State University, Detroit, MI","2010 ACM/IEEE 32nd International Conference on Software Engineering","","2010","2","","223","226","One of the main challenges faced by today's developers is keeping up with the staggering amount of source code that needs to be read and understood. In order to help developers with this problem and reduce the costs associated with it, one solution is to use simple textual descriptions of source code entities that developers can grasp easily, while capturing the code semantics precisely. We propose an approach to automatically determine such descriptions, based on automated text summarization technology.","1558-1225;0270-5257","978-1-60558-719","10.1145/1810295.1810335","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6062165","program comprehension;summary;text summarization","Semantics;Natural languages;Large scale integration;Software engineering;Tagging;Software systems","reverse engineering;software cost estimation;software maintenance","program comprehension;source code summarization;cost reduction;textual description;code semantics;automated text summarization;software maintenance","","37","","12","","","","","IEEE","IEEE Conferences"
"Examining Software Design Projects in a First-Year Engineering Course: : The Impact of the Project Type on Programming Complexity and Programming","K. M. Kcskemety; Z. Dix; B. Kott","Department of Engineering Education, The Ohio State University, Columbus, OH, USA; Department of Engineering Education, The Ohio State University, Columbus, OH, USA; Department of Engineering Education, The Ohio State University, Columbus, OH, USA","2018 IEEE Frontiers in Education Conference (FIE)","","2018","","","1","5","This Innovative Practice work-in-progress paper examines a game software design project implemented at a large Midwestern university to replace prior end of term projects. The use of end of term projects for introductory software courses can increase student engagement and provide a way to summarize and synthesize topics learned in the course. Previous research has shown student's perceptions of the game project to be positive. This current work examines a sample set of programming source code submissions for the Source Lines of Code metric and counts of the instances of certain programming fundamentals (input/output, repetition structures, selection structures). The results show that the game projects had significantly higher effort required when examining these metrics compared to the prior end of term projects. This preliminary work will lead to additional analysis of the full set of source code submissions, as well as, different metrics to measure complexity of the submissions.","2377-634X;1539-4565","978-1-5386-1174-6978-1-5386-1175","10.1109/FIE.2018.8659033","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8659033","software design project;source code analysis;first-year engineering","Games;Complexity theory;Matlab;Measurement;Programming profession;Software design","computer aided instruction;computer science education;educational courses;engineering education;software metrics","game project;programming source code submissions;programming complexity;game software design project;Midwestern university;student engagement;source lines;code metric","","","","16","","","","","IEEE","IEEE Conferences"
"Source code comprehension strategies and metrics to predict comprehension effort in software maintenance and evolution tasks - an empirical study with industry practitioners","K. Nishizono; S. Morisakl; R. Vivanco; K. Matsumoto","Graduate School, of Information Science, Nara Institute of Science and Technology, 8916-5 Takayama, Ikoma, 630-0192 JAPAN; Faculty of Informatics, Shizuoka University, 3-5-1 Johoku, Naka, Hamamatsu, 432-8011 JAPAN; Department of Computer Science, University of Manitoba, Winnipeg, Canada R3T 2N2; Graduate School, of Information Science, Nara Institute of Science and Technology, 8916-5 Takayama, Ikoma, 630-0192 JAPAN","2011 27th IEEE International Conference on Software Maintenance (ICSM)","","2011","","","473","481","The goal of this research was to assess the consistency of source code comprehension strategies and comprehension effort estimation metrics, such as LOC, across different types of modification tasks in software maintenance and evolution. We conducted an empirical study with software development practitioners using source code from a small paint application written in Java, along with four semantics-preserving modification tasks (refactoring, defect correction) and four semantics-modifying modification tasks (enhancive and modification). Each task has a change specification and corresponding source code patch. The subjects were asked to comprehend the original source code and then judge whether each patch meets the corresponding change specification in the modification task. The subjects recorded the time to comprehend and described the comprehension strategies used and their reason for the patch judgments. The 24 subjects used similar comprehension strategies. The results show that the comprehension strategies and effort estimation metrics are not consistent across different types of modification tasks. The recorded descriptions indicate the subjects scanned through the original source code and the patches when trying to comprehend patches in the semantics-modifying tasks while the subjects only read the source code of the patches in semantics-preserving tasks. An important metric for estimating comprehension efforts of the semantics-modifying tasks is the Code Clone Subtracted from LOC(CCSLOC), while that of semantics-preserving tasks is the number of referred variables.","1063-6773;1063-6773","978-1-4577-0664-6978-1-4577-0663-9978-1-4577-0662","10.1109/ICSM.2011.6080814","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6080814","source code comprehension;comprehension effort estimation metrics;semantics-preserving;semantics-modifying;software maintenance and evolution","Analytical models;Measurement","software maintenance;software metrics","source code comprehension;software maintenance;evolution task;comprehension effort estimation metrics;software evolution;software development practitioner;semantics-preserving modification task;refactoring;defect correction;semantics-modifying modification task;source code patch;code clone subtracted from LOC","","4","","17","","","","","IEEE","IEEE Conferences"
"Cognitive Load Comparison of Traditional and Distributed Pair Programming on Visual Programming Language","C. Tsai; Y. Yang; C. Chang","NA; NA; NA","2015 International Conference of Educational Innovation through Technology (EITT)","","2015","","","143","146","Research results from computer science education show that pair programming is an effective teaching strategy on learning performance for computer science education in K-12. However, pair programming is not popularly used in K-12. One important issue is because sometimes pair programming by K-12 students is not as effective as expected. This study examines whether pair programming is effective from cognitive load perspective in distributed situation. We compares the cognitive loads for the visual programming language, called Star Logo TNG, under three circumstances that is alone, pair programming, and distributed pair programming. The experimental results show that learners prefer traditional pair programming to alone. Moreover, the pair programming can reduce germane cognitive load significantly. However, there is no significant difference between the single and distributed pair programming. Meanwhile, there is no significant difference on learning performance between traditional and distributed pair programming. Those results indicate the learning support and knowledge sharing tools for distributed pair programming could be improved.","","978-1-4673-8038-6978-1-4673-8037","10.1109/EITT.2015.37","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7446165","computer science education;distributed pair programming;visual programming language;cognitive load;Star Logo TNG","Programming profession;Computer languages;Visualization;Load modeling;Computer science education","computer aided instruction;computer science education;distributed programming;programming languages;teaching;visual programming","cognitive load perspective;traditional pair programming;distributed pair programming;visual programming language;computer science education;teaching strategy;learning performance;K-12 education;Star Logo TNG language;learning support;knowledge sharing","","1","","10","","","","","IEEE","IEEE Conferences"
"From Program Comprehension to People Comprehension","A. Begel","NA","2010 IEEE 18th International Conference on Program Comprehension","","2010","","","190","191","Large-scale software engineering requires many teams to collaborate together to create software products. The problems these teams suffer trying to coordinate their joint work can be addressed through tools inspired by social networking. Social networking tools help people to more easily discover and more efficiently maintain relationships than is feasible using one-to-one or face-to-face interactions. Applying these ideas to the software domain requires new kinds and combinations of software program and process analyses that overcome intrinsic limitations in the accuracy of the underlying data sources and the ambiguity inherent in human relationships.","1092-8138;1092-8138","978-1-4244-7603-9978-1-4244-7604-6978-0-7695-4113","10.1109/ICPC.2010.42","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5521747","software process;human aspects","Collaborative software;Humans;Software engineering;Collaborative work;Social network services;Computer bugs;Software testing;Data engineering;Data mining;USA Councils","social aspects of automation;social networking (online);software engineering","program comprehension;people comprehension;social networking tools;software program;software products;human aspects","","1","","9","","","","","IEEE","IEEE Conferences"
"Code complexity estimation for Java programs","M. Simon; Z. Porkoláb; G. Horváth","Department of Programming Languages and Compilers, Eötvös Loránd University, Pázmány Péter sétány 1/C H-1117 Budapest, Hungary; Department of Programming Languages and Compilers, Eötvös Loránd University Pázmány Péter sétány 1/C H-1117 Budapest, Hungary; Department of Programming Languages and Compilers, Eötös Loránd University, Pázmány Péter sétány 1/C H-1117 Budapest, Hungary","2015 IEEE 13th International Scientific Conference on Informatics","","2015","","","232","235","Estimating algorithmic complexity of complex software systems is important as based on such estimations we can approximate certain run-time properties of the software, like worst-case execution time or latency of critical components. These estimations are also necessary e.g. to plan with the required hardware capacity to run the software. While software design usually deals with algorithmic complexity, the actual implementation may vary from the plans. In case of industry-scale complex systems such differences are very hard to detect with manual code inspections. In this paper we propose a new approach for source level worst-case time estimation for Java programs. Knowing the presumed complexity, we try to prove whether the worst-case execution of the program suits the complexity requirements. These requirements are given in a specific DSL embedded into the code. When the supposed upper limit does not hold we identify the place in the source code where the assumption failed and emit diagnostic messages. Thus the programmer gets hint what went wrong and how to fix the problem (if possible). Complexity requirements may depend on parameters, e.g. the size of a data structure, etc., therefore our DSL interacts with the source code. The DSL is given in form of Java attributes, this way our solution is highly portable. We implemented a proof of concept prototype version of the idea and we show our results.","","978-1-4673-9868-8978-1-4673-9867","10.1109/Informatics.2015.7377838","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7377838","","Complexity theory;Estimation;Java;DSL;Dispersion;Program processors","computational complexity;Java;program diagnostics;source code (software)","Java programs;code complexity estimation;algorithmic complexity;complex software systems;worst-case execution time;critical components;software run-time properties;software design;source level worst-case time estimation;complexity requirements;DSL;source code;diagnostic messages;Java attributes","","","","7","","","","","IEEE","IEEE Conferences"
"Reduced-Complexity Linear Programming Decoding Based on ADMM for LDPC Codes","H. Wei; X. Jiao; J. Mu","NA; NA; NA","IEEE Communications Letters","","2015","19","6","909","912","The Euclidean projection onto check polytopes is the most time-consuming operation in the linear programming (LP) decoding based on alternating direction method of multipliers (ADMM) for low-density parity-check (LDPC) codes. In this letter, instead of reducing the complexity of Euclidean projection itself, we propose a new method to reduce the decoding complexity of ADMM-based LP decoder by decreasing the number of Euclidean projections. In particular, if all absolute values of the element-wise differences between the input vector of Euclidean projection in the current iteration and that in the previous iteration are less than a predefined value, then the Euclidean projection at the current iteration will be no longer performed. Simulation results show that the proposed decoder can still save roughly 20% decoding time even if both the over-relaxation and early termination techniques are used.","1089-7798;1558-2558;2373-7891","","10.1109/LCOMM.2015.2418261","National Nature Science Foundation of China; Fundamental Research Funds for the Central Universities; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7073564","Linear programming decoding;alternating direction method of multipliers (ADMM);reduce-complexity;Linear programming decoding;alternating direction method of multipliers (ADMM);reduce-complexity","Decoding;Standards;Signal to noise ratio;Vectors;Iterative decoding;Complexity theory","computational complexity;computational geometry;iterative methods;linear programming;parity check codes","reduced-complexity linear programming decoding;ADMM-based LP decoder;LDPC codes;low-density parity-check codes;Euclidean projection;check polytopes;alternating direction method-of-multipliers;absolute values;current iteration;decoding time;early termination technique;over-relaxation technique;decoding complexity reduction","","17","","9","","","","","IEEE","IEEE Journals & Magazines"
"A Code Complexity Model of Object Oriented Programming (OOP)","H. Hourani; H. Wasmi; T. Alrawashdeh","Faculty of Science and IT, Al Zaytoonah University of Jordan, Amman, Jordan; Faculty of Science and IT, Al Zaytoonah University of Jordan, Amman, Jordan; Faculty of Science and IT, Al Zaytoonah University of Jordan, Amman, Jordan","2019 IEEE Jordan International Joint Conference on Electrical Engineering and Information Technology (JEEIT)","","2019","","","560","564","The Code Complexity and Object Oriented Programming (OOP) is an import topic due to the role of OOP playing in most of the software design and architectures nowadays. In OOP there are key design concepts like Encapsulation, Polymorphisms and Inheritance that affect the coding design, structure and style. The challenge is how to minimize the Complexity in OOP and complying with the key concepts of OOP design. This paper reviews the literature on current solutions for code complexity and proposes a new model for OOP code complexity. The new model has added into OOP complexity metrics the following characteristics: abstraction and class details complexity. The proposed model is based on the following attributes selection criteria: Readability, Understandability, Maintainability, Reusability, Extensibility and Consistency of the programming code.","","978-1-5386-7942-5978-1-5386-7941-8978-1-5386-7943","10.1109/JEEIT.2019.8717448","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8717448","Code complexity;Object Oriented Programming;OOP;OOP Metrics;2O2C Metrics","Complexity theory;Object oriented modeling;Couplings;Object oriented programming;Software;Size measurement","","","","","","19","","","","","IEEE","IEEE Conferences"
"Low-Complexity Software Stack Decoding of Polar Codes","H. Aurora; C. Condo; W. J. Gross","McGill University, Department of Electrical and Computer Engineering, Montreal, Quebec, Canada; McGill University, Department of Electrical and Computer Engineering, Montreal, Quebec, Canada; McGill University, Department of Electrical and Computer Engineering, Montreal, Quebec, Canada","2018 IEEE International Symposium on Circuits and Systems (ISCAS)","","2018","","","1","5","Polar codes are a recent class of linear error-correcting codes that asymptotically achieve the channel capacity at infinite code length. The Successive Cancellation List (SCL) algorithm yields very good error-correction performance, at the cost of high implementation complexity. The Stack (SCS) decoding algorithm provides similar error-correction performance at a lower complexity. In this work, we propose an efficient software implementation of the SCS decoding algorithm, along with techniques to further reduce its computational complexity. In particular, we reduce the SCS memory requirements through efficient path switching, replace the stack sorting with a linear search, and explore the use of a partial CRC along with an early termination criterion. Using the proposed methods, we are able to reduce the computational complexity of the SCS decoder, reducing the number of estimated bits up to 97% with respect to SCL, while maintaining similar error-correction performance as SCL.","2379-447X","978-1-5386-4881-0978-1-5386-4882","10.1109/ISCAS.2018.8351832","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8351832","","Indexes;Decoding;Complexity theory;Switches;Software;Arrays;Measurement","channel capacity;channel coding;computational complexity;decoding;error correction codes;search problems","channel capacity;SCL;SCS decoding algorithm;computational complexity;stack sorting;linear search;low-complexity software Stack decoding;polar codes;linear error-correcting codes;successive cancellation list algorith","","1","","15","","","","","IEEE","IEEE Conferences"
"A survey on impact of lines of code on software complexity","S. Bhatia; J. Malhotra","Dept. of CSE, GNDU, RC, jalandhar, India; Dept. of CSE, GNDU, RC, Jalandhar, India","2014 International Conference on Advances in Engineering & Technology Research (ICAETR - 2014)","","2014","","","1","4","Size is one of the important attributes of a software product. Lines of Code (SLOC or LOC) is one of the most widely used sizing metrics in industry. The amount of effort needed to maintain a software system is related to the technical quality of the source code of that system. Estimation of effort is complicated and challenging task in software industry. Project size is a measure of problem complexity in terms of effort and time required to develop the products. This paper mainly focuses on Impact of LOC on complexity. SLOC is typically used to predict the amount of effort that will be required to develop a program, as well as to estimate programming productivity or complexity once the software is produced.","2347-9337","978-1-4799-6393-5978-1-4799-6392","10.1109/ICAETR.2014.7012875","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7012875","Complexity;Effort;Lines of code component","Software;Complexity theory;Estimation;Software measurement;Size measurement;Biological system modeling","computational complexity;software metrics;source code (software)","software complexity;lines of code;SLOC;software system;source code;software industry;project size;problem complexity;programming productivity","","2","","13","","","","","IEEE","IEEE Conferences"
