BibliographyType,ISBN,Identifier,Author,Title,Journal,Volume,Number,Month,Pages,Year,Address,Note,URL,Booktitle,Chapter,Edition,Series,Editor,Publisher,ReportType,Howpublished,Institution,Organizations,School,Annote,Custom1,Custom2,Custom3,Custom4,Custom5
7,"","TARJAN20141","Tarjan, Laslo; Šenk, Ivana; Tegeltija, Srdjan; Stankovski, Stevan; Ostojic, Gordana","A readability analysis for QR code application in a traceability system","Computers and Electronics in Agriculture",109,,"","1 - 11",2014,"","","http://www.sciencedirect.com/science/article/pii/S0168169914002142","","","","","","","","","","","","","Traceability of data through transformation stages of each individual food product, starting from raw products and to the final product, as well as printing the key data on the product package, adds to the consumers’ trust in product quality. For each food product, it is necessary to track data starting from the stage of raw products farming, through food processing, transport, warehousing, to retailing and reaching the end consumer. In order to allow insight to the key data to the user (mostly end consumer), this paper suggests recording the data on the product package in the form of a quick response two-dimensional barcode (QR code) in key points of the product’s life cycle. For efficient functioning of the proposed system, it is essential to ensure fast and reliable operation through proper placement of the QR code on the package during production, and fast and easy data reading by the product consumer. This paper presents the results of a readability analysis of QR code of variable contents, size and data error correction level, which are read by smartphones running an Android platform. The experiments were performed with various types of base material on which the code was printed. Furthermore, QR code readability analysis was conducted in the case when there is a geometric deformation of the code. Based on the detailed analysis of the collected data, it can be concluded that QR code readability is not directly influenced by the number of coded characters, or by the error correction level, but only by the size of modules that constitute the code. Furthermore, the results show that the change of the base material does not influence the read time, but influences the code readability. The paper further presents an example of the proposed traceability system, where the QR codes are used for data tracking and tracing for fruit yogurts, based on the recommendations gained through the readability analysis. This traceability system concept is universal and can be used for various products with slight modifications.","","Traceability, QR code, Barcode, Mobile phone, Readability","",""
7,"","THOMPSON2019100873","Thompson, Jack; Sutton, Katherine; Kuo, Tony","The added value of establishing a lexicon to help inform, compare, and better understand the implementation of policy, systems, and environmental change strategies in Supplemental Nutrition Assistance Program Education","Preventive Medicine Reports",14,,"","100873",2019,"","","http://www.sciencedirect.com/science/article/pii/S2211335519300555","","","","","","","","","","","","","Categorization of terms/concepts/constructs that allows for better understanding and comparison of public health interventions is often lacking in program implementation and evaluation. A classification system such as a lexicon, when used appropriately, can help address this need. The present narrative describes a lexicon of policy, systems, and environmental change strategies (PSEs) that was developed and prototyped to aid local implementation of Supplemental Nutrition Assistance Program Education (SNAP-Ed) interventions in obesity prevention. The lexicon was reviewed and refined by a panel of experts who provided iterative feedback on the system's scope and utility. To develop the lexicon, a team from the local health department: (i) conducted an inventory (community context scan) of SNAP-Ed PSEs implemented in Los Angeles County during 2010–2015; (ii) assessed commonalities among PSEs that were translated into “index factors” to contextualize terms/concepts/constructs relevant to SNAP-Ed services planning; and (iii) convened a panel of experts to review and test the classification system for quality and usability. In the latter activity, the panel reviewed the terms/concepts/constructs within the context of two geographical areas and by the selected PSEs. The final version of the lexicon organized the terms/concepts/constructs of the local SNAP-Ed PSEs into overarching categories, so they can be compared/assessed by type, content, and/or impact. The goal of the project was to create a classification system that can help facilitate meaningful communications among program implementers, evaluators, and community stakeholders. The lexicon has practical implications and potential applications for other jurisdictions interested in reducing obesity rates through SNAP-Ed PSEs.","","Obesity prevention, Public health, Policy, systems and environmental change, Lexicon, Program implementation, Program evaluation","",""
7,"","LISTON20151014","Liston, J.; Geary, T.","Evaluating a Guidance Counsellor Education Programme: The Methodological Complexities","Procedia - Social and Behavioral Sciences",191,,"","1014 - 1018",2015,"","The Proceedings of 6th World Conference on educational Sciences","http://www.sciencedirect.com/science/article/pii/S1877042815029171","","","","","","","","","","","","","The focus of this paper is on the methodological considerations of a PhD study which evaluated a guidance counsellor education programme,offered by a University in Ireland. The programme is offered as a two-year part-time course, which is delivered over four semesters and two summer schools.Good practice and areas for improvement were identified, acknowledged and affirmed throughout the study. However in doing so a number of methodological complexities were considered. The model selected for evaluating the programme negotiated the sensitive nature and the contextual dimensions of guidance counselling while also ensuring a depth in findings. Underlying the term ‘evaluation’ in the context of the study was the motivation to seek knowledge, explore and illuminate new learning in the area of guidance counsellor education. Therefore the study can be described as principally an evaluation with illuminative and exploratory characteristics.This paper explores the strengths and limitations of the methodological approach adopted.","","Guidance Counsellor Education, Programme Evaluation, Guidance Counsellor Personal Development, The Irish Perspective.","",""
7,"","HENSEL2018105","Hensel, Jera; Giesl, Jürgen; Frohn, Florian; Ströder, Thomas","Termination and complexity analysis for programs with bitvector arithmetic by symbolic execution","Journal of Logical and Algebraic Methods in Programming",97,,"","105 - 130",2018,"","","http://www.sciencedirect.com/science/article/pii/S2352220817300524","","","","","","","","","","","","","In earlier work, we developed an approach for automated termination analysis of C programs with explicit pointer arithmetic, which is based on symbolic execution. However, similar to many other termination techniques, this approach assumed the program variables to range over mathematical integers instead of bitvectors. This eases mathematical reasoning but is unsound in general. In this paper, we extend our approach in order to handle fixed-width bitvector integers. Thus, we present the first technique for termination analysis of C programs that covers both byte-accurate pointer arithmetic and bit-precise modeling of integers. Moreover, we show that our approach can also be used to analyze the runtime complexity of bitvector programs. We implemented our contributions in the automated termination prover AProVE and evaluate its power by extensive experiments.","","Termination analysis, Bitvectors, Symbolic execution, , Runtime complexity","",""
7,"","PADRO20131072","Padró, Carles; Vázquez, Leonor; Yang, An","Finding lower bounds on the complexity of secret sharing schemes by linear programming","Discrete Applied Mathematics",161,7,"","1072 - 1084",2013,"","","http://www.sciencedirect.com/science/article/pii/S0166218X12004003","","","","","","","","","","","","","Optimizing the maximum, or average, length of the shares in relation to the length of the secret for every given access structure is a difficult and long-standing open problem in cryptology. Most of the known lower bounds on these parameters have been obtained by implicitly or explicitly using that every secret sharing scheme defines a polymatroid related to the access structure. The best bounds that can be obtained by this combinatorial method can be determined by using linear programming, and this can be effectively done for access structures on a small number of participants. By applying this linear programming approach, we improve some of the known lower bounds for the access structures on five participants and the graph access structures on six participants for which these parameters were still undetermined. Nevertheless, the lower bounds that are obtained by this combinatorial method are not tight in general. For some access structures, they can be improved by adding to the linear program non-Shannon information inequalities as new constraints. We obtain in this way new separation results for some graph access structures on eight participants and for some ports of non-representable matroids. Finally, we prove that, for two access structures on five participants, the combinatorial lower bound cannot be attained by any linear secret sharing scheme.","","Secret sharing, Linear programming, Polymatroid, Non-Shannon information inequalities","",""
7,"","LAW2018110","Law, Mark; Russo, Alessandra; Broda, Krysia","The complexity and generality of learning answer set programs","Artificial Intelligence",259,,"","110 - 146",2018,"","","http://www.sciencedirect.com/science/article/pii/S000437021830105X","","","","","","","","","","","","","Traditionally most of the work in the field of Inductive Logic Programming (ILP) has addressed the problem of learning Prolog programs. On the other hand, Answer Set Programming is increasingly being used as a powerful language for knowledge representation and reasoning, and is also gaining increasing attention in industry. Consequently, the research activity in ILP has widened to the area of Answer Set Programming, witnessing the proposal of several new learning frameworks that have extended ILP to learning answer set programs. In this paper, we investigate the theoretical properties of these existing frameworks for learning programs under the answer set semantics. Specifically, we present a detailed analysis of the computational complexity of each of these frameworks with respect to the two decision problems of deciding whether a hypothesis is a solution of a learning task and deciding whether a learning task has any solutions. We introduce a new notion of generality of a learning framework, which enables us to define a framework to be more general than another in terms of being able to distinguish one ASP hypothesis solution from a set of incorrect ASP programs. Based on this notion, we formally prove a generality relation over the set of existing frameworks for learning programs under answer set semantics. In particular, we show that our recently proposed framework, Context-dependent Learning from Ordered Answer Sets, is more general than brave induction, induction of stable models, and cautious induction, and maintains the same complexity as cautious induction, which has the highest complexity of these frameworks.","","Non-monotonic logic-based learning, Answer Set Programming, Complexity of non-monotonic learning","",""
7,"","DUTTON20191126","Dutton, Spencer; Marnay, Chris; Feng, Wei; Robinson, Matthew; Mammoli, Andrea","Moore vs. Murphy: Tradeoffs between complexity and reliability in distributed energy system scheduling using software-as-a-service","Applied Energy",238,,"","1126 - 1137",2019,"","","http://www.sciencedirect.com/science/article/pii/S0306261919300650","","","","","","","","","","","","","Software-based optimization of building control strategies, including scheduling, has the potential to improve the performance of existing complex heating, ventilation, and air conditioning (HVAC), storage, and other systems—especially if temporally variable energy production, such as solar thermal or photovoltaics, is included. If reductions in energy bills can be achieved using optimized control strategies that take advantage of cost-saving opportunities, such as time-of-use pricing, the additional bill savings can cover further efficiency investment costs. As computer processing becomes cheaper over time (Moore’s Law), opportunities to perform complex control optimization become more abundant, and these can be performed remotely as software-as-a-service (SaaS). However, by “perfecting” our control strategies, we run an increased risk that when something unexpected happens (Murphy’s Law), the consequences of failure are greater. This study used simulation to explore the potential benefits of HVAC schedule optimization, delivery, and implementation using a SaaS paradigm, at various levels of complexity. Implementing optimal schedules in a model of an efficient building’s HVAC system, the study predicts energy cost savings of up to 10% compared to the naïve reference control strategy. Optimizing more system control variables increases the potential energy cost savings; however, these savings could be compromised by failures in communication inherent in delivering schedules via SaaS. The additional cost of energy resulting from the risk of increased demand charges generally increased with increased communication failure to a much larger extent than the risk of increased energy use charges. This work suggests that moderate improvements in performance, achieved at low cost by simple means, may be more effective than highly optimized schemes, which are more susceptible to failure due to their dependence on complex interactions between systems.","","Distributed energy resources, Control optimization, Software-as-a-service, HVAC complexity, microgrids","",""
7,"","HANG2017116","Hang, Bo; Kang, Changqing; Wang, Yi","A low computational complexity bandwidth extension method for mobile audio coding","Computers & Electrical Engineering",60,,"","116 - 125",2017,"","","http://www.sciencedirect.com/science/article/pii/S0045790617312557","","","","","","","","","","","","","Mobile devices always demand low computational complexity because computing resources, such as processor and battery, in mobile are always limited. The bandwidth extension (BWE) algorithm in mobile audio codec standard of China was proposed to improve audio quality in mobile communication. But the computational complexity of the algorithm is too high to implement in mobile devices. By analyzing the BWE algorithm, we discover that the main reason of high computational complexity is the frequently usage of time-frequency transformation. Then a low computational complexity scheme is proposed, which include algorithm optimization and code optimization. The experiment results show that computation time consumption ratio of BWE module in encoder and decoder are decreased by 4.5 and 14.3 percentage points respectively, without reducing the overall audio codec subjective quality, which is be conductive to the algorithm implement in mobile audio field.","","Mobile audio, Bandwidth extension, Computational complexity, Time-frequency transformation","",""
7,"","PONCE20121170","Ponce, Héctor R.; López, Mario J.; Mayer, Richard E.","Instructional effectiveness of a computer-supported program for teaching reading comprehension strategies","Computers & Education",59,4,"","1170 - 1183",2012,"","","http://www.sciencedirect.com/science/article/pii/S0360131512001340","","","","","","","","","","","","","This article examines the effectiveness of a computer-based instructional program (e-PELS) aimed at direct instruction in a collection of reading comprehension strategies. In e-PELS, students learn to highlight and outline expository passages based on various types of text structures (such as comparison or cause-and-effect) as well as to paraphrase, self-question, and summarize. The study involved 1041 fourth-grade elementary students from 21 schools distributed in three regions in central Chile. Participant teachers integrated this program into the Spanish language curriculum, instructing their students during thirty sessions of 90 min each during one school semester. Pretest-to-posttest gains in reading comprehension scores were significantly greater for students instructed with this program than for students who received traditional instruction (d = .5), with particularly strong effects for lower-achieving students (d = .7). The findings support the efficacy of direct instruction in specific learning strategies in a computer-based environment.","","Learning strategies, Subject areas, Elementary education, Interactive learning environments, Classroom teaching, Reading comprehension","",""
7,"","DURISIC20131275","Durisic, Darko; Nilsson, Martin; Staron, Miroslaw; Hansson, Jörgen","Measuring the impact of changes to the complexity and coupling properties of automotive software systems","Journal of Systems and Software",86,5,"","1275 - 1293",2013,"","","http://www.sciencedirect.com/science/article/pii/S0164121212003330","","","","","","","","","","","","","Background
 In the past few decades exponential increase in the amount of software used in cars has been recorded together with enhanced requirements for functional safety of their embedded software. As the evolution of software systems in cars often entails changes to software architecture, it is important to be able to monitor their impact.
 Method
 We conducted a case study on a distributed software system in cars at Volvo Car Corporation with the goal to develop, apply and evaluate measures of complexity and coupling which could support software architects in monitoring changes.
 Results
 The results showed that two metrics – structural complexity and coupling measures – can guide architectural work and turn attention of architects to most complex subsystems. The results were confirmed by monitoring a complete electrical system of a vehicle under two releases.
 Conclusion
 By applying the metrics after each significant change in the architecture, it is possible to verify that certain quality attributes have not deteriorated and to identify new testing areas. Using these metrics increases the product quality with respect to stability, reliability, and maintainability and also has potential to reduce long-term software development/maintenance costs.","","Automotive software system, Quality metric, Architectural change, Maintainability, Complexity, Coupling","",""
