BibliographyType,ISBN,Identifier,Author,Title,Journal,Volume,Number,Month,Pages,Year,Address,Note,URL,Booktitle,Chapter,Edition,Series,Editor,Publisher,ReportType,Howpublished,Institution,Organizations,School,Annote,Custom1,Custom2,Custom3,Custom4,Custom5
7,"","HUNG20121128","Hung, Chao-Hsiung; Hang, Hsueh-Ming","A reduced-complexity image coding scheme using decision-directed wavelet-based contourlet transform","Journal of Visual Communication and Image Representation",23,7,"","1128 - 1143",2012,"","","http://www.sciencedirect.com/science/article/pii/S1047320312001046","","","","","","","","","","","","","Recently the wavelet-based contourlet transform (WBCT) is adopted for image coding because it matches better image textures of different orientations. However, its computational complexity is very high. In this paper, we propose three tools to enhance the WBCT coding scheme, in particular, on reducing its computational complexity. First, we propose short-length 2-D filters for directional transform. Second, the directional transform is applied to only a few selected subbands and the selection is done by a mean-shift-based decision procedure. Third, we fine-tune the context tables used by the arithmetic coder in WBCT coding to improve coding efficiency and to reduce computation. Simulations show that, at comparable coded image quality, the proposed scheme saves over 92% computing time of the original WBCT scheme. Comparing to the conventional 2-D wavelet coding schemes, it produces clearly better subjective image quality.","","Contourlet transform, Wavelet-based contourlet transform, Bit-plane coding, Directional filter bank, Directional transform, Wavelet transform, Image coding, Computational complexity reduction, Adaptive Directional Transform","",""
7,"","LEE20121179","Lee, Jin Young; Wey, Ho-Cheon; Park, Du-Sik","A high performance and low complexity sampling-based intra coding method for H.264/AVC","Journal of Visual Communication and Image Representation",23,8,"","1179 - 1188",2012,"","","http://www.sciencedirect.com/science/article/pii/S1047320312001290","","","","","","","","","","","","","The H.264/AVC video coding standard can achieves higher compression performance than previous video coding standards, such as MPEG-2, MPEG-4, and H.263. Especially, in order to obtain the high coding performance in intra pictures, the H.264/AVC encoder employs various directional spatial prediction modes and the rate-distortion (RD) optimization technique inducing high computational complexity. For further improvement in the coding performance with the low computational complexity, we introduce a sampling-based intra coding method. The proposed method generates two sub-images, which are defined as a sampled sub-image and a prediction error sub-image in this paper, from an original image through horizontal or vertical sampling and prediction processes, and then each sub-image is encoded with different intra prediction modes, quantization parameters, and scanning patterns. Experimental results demonstrate that the proposed method significantly improves the intra coding performance and reduces the encoding complexity with the smaller number of the RD cost calculation process.","","H.264/AVC, Sampling-based intra coding, Sampled sub-image, Prediction error sub-image, Intra prediction mode, Rate-distortion (RD) optimization, Intra mode decision, Video coding","",""
7,"","SUN20121244","Sun, Wei; Huang, Guo H.; Lv, Ying; Li, Gongchen","Waste management under multiple complexities: Inexact piecewise-linearization-based fuzzy flexible programming","Waste Management",32,6,"","1244 - 1257",2012,"","","http://www.sciencedirect.com/science/article/pii/S0956053X12000335","","","","","","","","","","","","","To tackle nonlinear economies-of-scale (EOS) effects in interval-parameter constraints for a representative waste management problem, an inexact piecewise-linearization-based fuzzy flexible programming (IPFP) model is developed. In IPFP, interval parameters for waste amounts and transportation/operation costs can be quantified; aspiration levels for net system costs, as well as tolerance intervals for both capacities of waste treatment facilities and waste generation rates can be reflected; and the nonlinear EOS effects transformed from objective function to constraints can be approximated. An interactive algorithm is proposed for solving the IPFP model, which in nature is an interval-parameter mixed-integer quadratically constrained programming model. To demonstrate the IPFP’s advantages, two alternative models are developed to compare their performances. One is a conventional linear-regression-based inexact fuzzy programming model (IPFP2) and the other is an IPFP model with all right-hand-sides of fussy constraints being the corresponding interval numbers (IPFP3). The comparison results between IPFP and IPFP2 indicate that the optimized waste amounts would have the similar patterns in both models. However, when dealing with EOS effects in constraints, the IPFP2 may underestimate the net system costs while the IPFP can estimate the costs more accurately. The comparison results between IPFP and IPFP3 indicate that their solutions would be significantly different. The decreased system uncertainties in IPFP’s solutions demonstrate its effectiveness for providing more satisfactory interval solutions than IPFP3. Following its first application to waste management, the IPFP can be potentially applied to other environmental problems under multiple complexities.","","Piecewise linearization, Fuzzy flexible programming, Interval nonlinear programming, Economies of scale","",""
7,"","MCVICAR20101277","McVicar, Tim R.; Niel, Tom G. Van; Li, LingTao; Wen, ZhongMing; Yang, QinKe; Li, Rui; Jiao, Feng","Parsimoniously modelling perennial vegetation suitability and identifying priority areas to support China's re-vegetation program in the Loess Plateau: Matching model complexity to data availability","Forest Ecology and Management",259,7,"","1277 - 1290",2010,"","Managing landscapes at multiple scales for sustainability of ecosystem functions","http://www.sciencedirect.com/science/article/pii/S0378112709003338","","","","","","","","","","","","","The Chinese Central government's policy to re-vegetate large areas of the Loess Plateau is currently being rapidly implemented at the provincial, prefecture, county, township, and village levels of government. Managers at these five levels of government need access to information to assist them to plan the land use change prior to performing on-ground activities. To this end, the suitability of 38 predominately native species in the 113,000km2 Coarse Sandy Hilly Catchments (CSHC) has been mapped at a 100m resolution. In this data-sparse region, this was achieved by using a five-variable spatial overlay approach as we were able to readily access the required environmental variables and rule-set defining the species’ requirements (or tolerances). As the rules did not consider optimal growth they were possibly ‘too inclusive’, so the spatial extent of areas suggested for re-planting was refined by defining ‘target areas’ for trees, shrubs and grasses based on precipitation, aspect, landform, and slope. In the land-use planning criteria developed here we suggest that hill-slopes and gullies with slopes greater than or equal to 15° (defined from a 100m resolution DEM) be left for natural succession. Due to lateral flow of water, sediment and nutrients from these steep slope and gullies, further prioritising re-vegetation target areas to the zone adjacent to and down slope from these steep portions of the landscape reduces sediment entering the river network with a minimal decrease of regional stream flow. These two functions (mapping species suitability and locating where priority and target re-vegetation activities should be undertaken) are available at a 100m resolution for the entire CSHC by accessing a bilingual decision support tool called ReVegIH (Re-Vegetation Impacts on Hydrology). Finally, an ecohydrological model was used to simulate changes in average annual stream flow originating from the CSHC based on implementing the ‘target’ and ‘priority’ area re-vegetation activities within the constraints of two land limits.","","Ecohydrology, Scenario planning, Grain-for-Green Project, Loess Plateau, Vegetation suitability mapping, Re-vegetation, Afforestation, Land-use planning, Soil erosion, Water yield, Stream flow, Environmental management","",""
7,"","KEELING20131345","Keeling, Debbie Isobel; Daryanto, Ahmad; de Ruyter, Ko; Wetzels, Martin","Take it or leave it: Using regulatory fit theory to understand reward redemption in channel reward programs","Industrial Marketing Management",42,8,"","1345 - 1356",2013,"","","http://www.sciencedirect.com/science/article/pii/S0019850113001351","","","","","","","","","","","","","Channel Reward Programs (CRPs) facilitate relationship management within reseller networks in distribution channels, yet a persistent problem is that rewards are not seen as valuable, which can reduce program investment. By applying Regulatory Fit theory, to understand how to sustain goal orientation (promotion or prevention) and stimulate task engagement through a match with the manner of goal pursuit, this study demonstrates that the presentation style suppliers adopt influences resellers' perceptions of reward value and their rate of point redemption with respect to CRPs. Two field studies demonstrate the mechanisms driving this effect. First, fit effects result from the interaction between reward type and presentation format (i.e., verbal vs. numerical) and affect perceived reward values and investment decisions. Second, cognitive engagement and “feeling right” about reward redemption mediate the effects of fit on investment opportunity evaluations. In turn, the findings demonstrate that CRP efficacy can be enhanced by stimulating regulatory orientations that match the presentation formats of the reward and that the dual affective–cognitive processes affect probabilistic judgments of rewards. This additional mechanism can further stimulate resellers' engagement with and investment in CRPs within complex decision-making contexts.","","Regulatory fit, Regulatory focus, Feeling right, Cognitive engagement, Loyalty programs","",""
7,"","LEBEDEV2014142","Lebedev, Alexander; Olmos, J. J. Vegas; Pang, Xiaodan; Monroy, Idelfonso Tafur; Larsen, Knud J.; Forchhammer, Søren","Low complexity source and channel coding for mm-wave hybrid fiber-wireless links","Optics Communications",318,,"","142 - 146",2014,"","","http://www.sciencedirect.com/science/article/pii/S0030401813011668","","","","","","","","","","","","","We report on the performance of channel and source coding applied for an experimentally realized hybrid fiber-wireless W-band link. Error control coding performance is presented for a wireless propagation distance of 3 m and 20km fiber transmission. We report on peak signal-to-noise ratio performance of several encoded high-definition video sequences constrained by the channel bitrate and the packet size. We argue that light video compression and low complexity channel coding for the W-band fiber-wireless link enable low-delay multiple channel 1080p wireless HD video transmission.","","Fiber optics, H.264/AVC, Millimeter wave transmission, Optical communication, Radio over Fiber, W-band wireless","",""
7,"","ARDESTANI2011143","Ardestani, Majid R.; Shirazi, Ali Asghar Beheshti; Hashemi, Mahmoud Reza","Low-complexity unbalanced multiple description coding based on balanced clusters for adaptive peer-to-peer video streaming","Signal Processing: Image Communication",26,3,"","143 - 161",2011,"","","http://www.sciencedirect.com/science/article/pii/S092359651100004X","","","","","","","","","","","","","Multiple description scalable coding based on T+2D wavelet decomposition structure is highly flexible for peer-to-peer (P2P) video streaming. Finding the optimal truncation point of each wavelet-decomposed code block (CB) within each description is an NP-hard problem (Akyol et al., 2007 [1]). For P2P video streaming, it is necessary to implement an efficient multiple description encoder with three attributes; “adaptive” (due to the time-varying capacity of the P2P network links and nodes), “low-complexity” (because of the low processing power of the receiving peer) with arbitrarily “unbalanced descriptions” (because of the unequal capacities of the different sending peers). To design a multiple description encoder with the above mentioned features, we propose a simple clustering algorithm for partitioning the CBs into a limited number of clusters. This simple and efficient clustering algorithm significantly reduces the size of redundancy-rate assignment matrix, such that one can find the optimal channel-aware cluster-level redundancy-rate assignment matrix using a low-complexity full search approach. This approach improves the decoding quality compared to the co-echelon adaptive frameworks (Akyol et al., 2007 [1]; Tillo et al., 2007 [8]) in which a non-optimal heuristic rate assignment pattern is used. Especially for the unbalanced P2P scenario (which is the usual case), the performance gain of the proposed approach over the one presented in Tillo et al. (2007) [8] (generating only balanced descriptions) is significant (0.95–3.0dB). In addition, the proposed clustering approach may be analytically represented by closed-form relations for low-complexity computation of the optimal encoding parameters. Our complexity analysis shows that the proposed approach requires 52–96% less computations compared to the framework in Akyol et al. (2007) [1]. Therefore, an efficient real-time post-encoding adaptation mechanism may be realized. The simulation results demonstrate that the adaptive proposed framework outperforms the approach presented in Akyol et al. (2007) [1] by (0.26–0.95dB) and the non-adaptive multiple description coding by (1.1–2.3dB).","","Scalable video coding, Multiple description coding, Motion compensated temporal filtering, Channel-aware redundancy-rate allocation, Clustering","",""
7,"","EHLERT20111629","Ehlert, Bryan A.; Durham, Christopher A.; Parker, Frank M.; Bogey, William M.; Powell, Charles S.; Stoner, Michael C.","Impact of operative indication and surgical complexity on outcomes after thoracic endovascular aortic repair at National Surgical Quality Improvement Program Centers","Journal of Vascular Surgery",54,6,"","1629 - 1636.e1",2011,"","","http://www.sciencedirect.com/science/article/pii/S0741521411015710","","","","","","","","","","","","","Introduction Thoracic endovascular aortic repair (TEVAR) devices are increasingly being utilized to treat aortic pathologies outside of the original Food & Drug Administration (FDA) approval for nonruptured descending thoracic aorta aneurysms (DTAs). The objective of this study was to evaluate the outcomes of patients undergoing TEVAR, elucidating the role of surgical and pathologic variables on morbidity and mortality. Methods National Surgical Quality Improvement Program (NSQIP) data were reviewed for all patients undergoing endovascular thoracic aorta repair from 2005 to 2007. The patients' operative indication and surgical complexity were used to divide them into study and control populations. Comorbid profiles were assessed utilizing a modified Charlson Comorbidity Index (CCI). Thirty-day occurrences of mortality and serious adverse events (SAEs) were used as study endpoints. Univariate and multivariate models were created using demographic and clinical variables to assess for significant differences in endpoints (P ≤ .05). Results A total of 440 patients undergoing TEVAR were identified. When evaluating patients based on operative indication, the ruptured population had increased mortality and SAE rates compared to the nonruptured DTA population (22.6% vs 6.2%;P < .01 and 35.5% vs 9.1%;P < .01, respectively). Further analysis by surgical complexity revealed increased mortality and SAE rates when comparing the brachiocephalic aortic debranching population to the noncovered left subclavian artery population (23.1% vs 6.5%; P = .02 and 30.8% vs 9.1%; P < .01, respectively). Multivariate analysis demonstrated that operative indication was not a correlate of mortality or SAEs (odds ratio [OR], 0.95; P = .92 and OR, 1.42; P = .39, respectively); however, brachiocephalic aortic debranching exhibited a deleterious effect on mortality (OR, 8.75; P < .01) and SAE rate (OR, 6.67; P = .01). Conclusion The operative indication for a TEVAR procedure was not found to be a predictor of poor patient outcome. Surgical complexity, specifically the need for brachiocephalic aortic debranching and aortoiliac conduit, was shown to influence the occurrence of SAEs in a multivariate model. Comparative data, such as these, illustrate real-world outcomes of patients undergoing TEVAR outside of the original FDA-approved indications. This information is of paramount importance to various stakeholders, including third-party payers, the device industry, regulatory agencies, surgeons, and their patients.","","","",""
7,"","BLANCH20121684","Blanch, Sílvia; Duran, David; Flores, Marta; Valdebenito, Vanessa","The Effects of a Peer Tutoring Programme to Improve the Reading Comprehension Competence Involving Primary Students at School and their Families at Home","Procedia - Social and Behavioral Sciences",46,,"","1684 - 1688",2012,"","4th WORLD CONFERENCE ON EDUCATIONAL SCIENCES (WCES-2012) 02-05 February 2012 Barcelona, Spain","http://www.sciencedirect.com/science/article/pii/S1877042812014905","","","","","","","","","","","","","This paper presents on the effects of an educational programme involving peer tutoring at school and family tutoring at home on child reading comprehension achievement. We drew upon a sample of 303 students and 223 family tutors. The methodology combined a quasi-experimental design and a qualitative analysis of texts. Background variables were collected by means of student and parent questionnaires and also teacher and family interviews. An analysis of the family tutoring interactions was also monitored. Overall, the study reveals the effectiveness of peer learning to improve reading comprehension skills and the potential of family involvement for the development of academic skills.","","Peer tutoring, Reading comprehension, Family involvement, Literacy skills","",""
7,"","HSU2018185","Hsu, Chi-Ching; Yu-Heng, Wu; Menolascina, Filippo; Nordling, Torbjörn E. M.","Modelling of the GAL1 Genetic Circuit in Yeast Using Three Equations⁎⁎Chi-Ching Hsu, Yu-Heng Wu, and Torbjörn Nordling was in part supported by the Ministry of Science and Technology, Taiwan (grant 105-2218-E-006-016-MY2 and 105-2911-I-006-518), and the Innovation and Technology Program (I-Dream), National Applied Research Laboratories (NARLabs), Taiwan. Filippo Menolascina was in part supported by the Royal Society of Edinburgh, U.K. We sincerely thank Diego di Bernardo and Gianfranco Fiore for providing their data, Matlab code, and helping us understand their analysis published in Fiore et al. (2013).","IFAC-PapersOnLine",51,18,"","185 - 190",2018,"","10th IFAC Symposium on Advanced Control of Chemical Processes ADCHEM 2018","http://www.sciencedirect.com/science/article/pii/S2405896318319785","","","","","","","","","","","","","Synthetic gene circuits can be used to modify and control existing biological processes and thus e.g. increase drug yields. Currently their use is hampered by the, largely, trial and error approach used to design them. Lack of reliable quantitative dynamical models of genetic circuits e.g. prevents the use of well established control design methods. We aim toward creation of a pipeline for automated closed-loop identification of dynamic models of synthetically engineered genetic circuits in microorganisms. As a step towards this aim, we here study modelling of the input-output behaviour of the yGIL337 strain of S. cerevisiae. In this strain expression of the fluorescent reporter can be turned on by growing the yeast in galactose and off by glucose. We perform parameter estimation on a system of three ordinary differential equations of Michaelis-Menten type based on in vivo data from a microfluidic experiment by Fiore et al. (2013) after redoing the data preprocessing. The parameter estimation is done using AMIGO2–a state of the art Matlab toolbox for iterative identification of dynamical models. We show that the goodness-of-fit of our model is comparable to the five models proposed by Fiore et al. and we hypothesise that the system is an adaptive feedback system.","","synthetic biology, systems biology, genetic circuit, system identification, parameter estimation","",""
